symbol,name,sector,bse_security_code,bse_industry
KRBL.BO,KRBL Limited,Consumer Defensive,530813,Fast Moving Consumer Goods
GODREJAGRO.BO,Godrej Agrovet Limited,Consumer Defensive,540743,Fast Moving Consumer Goods
EIDPARRY.BO,E.I.D.- Parry (India) Limited,Consumer Defensive,500125,Chemicals
CCL.BO,CCL Products (India) Limited,Consumer Defensive,519600,Fast Moving Consumer Goods
BALRAMCHIN.BO,Balrampur Chini Mills Limited,Consumer Defensive,500038,Fast Moving Consumer Goods
BBTC.BO,"The Bombay Burmah Trading Corporation, Limited",Consumer Defensive,501425,Fast Moving Consumer Goods
AVANTI.BO,Avanti Feeds Limited,Consumer Defensive,512573,Fast Moving Consumer Goods
GAEL.BO,Gujarat Ambuja Exports Limited,Consumer Defensive,524226,Fast Moving Consumer Goods
VSTIND.BO,VST Industries Limited,Consumer Defensive,509966,Fast Moving Consumer Goods
TATACOFFEE.BO,Tata Coffee Limited,Consumer Defensive,532301,Fast Moving Consumer Goods
SUNPHARMA.BO,Sun Pharmaceutical Industries Limited,Healthcare,524715,Healthcare
CIPLA.BO,Cipla Limited,Healthcare,500087,Healthcare
DIVISLAB.BO,Divi's Laboratories Limited,Healthcare,532488,Healthcare
DRREDDY.BO,Dr. Reddy's Laboratories Limited,Healthcare,500124,Healthcare
APOLLOHOSP.BO,Apollo Hospitals Enterprise Limited,Healthcare,508869,Healthcare
TORNTPHARM.BO,Torrent Pharmaceuticals Limited,Healthcare,500420,Healthcare
ZYDUSLIFE.BO,Zydus Lifesciences Limited,Healthcare,532321,Healthcare
MAXHEALTH.BO,Max Healthcare Institute Limited,Healthcare,543220,Healthcare
ABBOTINDIA.BO,Abbott India Limited,Healthcare,500488,Healthcare
AUROPHARMA.BO,Aurobindo Pharma Limited,Healthcare,524804,Healthcare
LUPIN.BO,Lupin Limited,Healthcare,500257,Healthcare
ALKEM.BO,Alkem Laboratories Limited,Healthcare,539523,Healthcare
SYNGENE.BO,Syngene International Limited,Healthcare,539268,Healthcare
BIOCON.BO,Biocon Limited,Healthcare,532523,Healthcare
GLAND.BO,Gland Pharma Limited,Healthcare,543245,Healthcare
GLAXO.BO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,500660,Healthcare
FORTIS.BO,Fortis Healthcare Limited,Healthcare,532843,Healthcare
IPCALAB.BO,Ipca Laboratories Limited,Healthcare,524494,Healthcare
GLENMARK.BO,Glenmark Pharmaceuticals Limited,Healthcare,532296,Healthcare
AJANTPHARM.BO,Ajanta Pharma Limited,Healthcare,532331,Healthcare
LAURUSLABS.BO,Laurus Labs Limited,Healthcare,540222,Healthcare
JBCHEPHARM.BO,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,506943,Healthcare
NH.BO,Narayana Hrudayalaya Limited,Healthcare,539551,Healthcare
LALPATHLAB.BO,Dr. Lal PathLabs Limited,Healthcare,539524,Healthcare
PFIZER.BO,Pfizer Limited,Healthcare,500680,Healthcare
MEDANTA.BO,Global Health Limited,Healthcare,543654,Healthcare
SANOFI.BO,Sanofi India Limited,Healthcare,500674,Healthcare
APLLTD.BO,Alembic Pharmaceuticals Limited,Healthcare,533573,Healthcare
ASTERDM.BO,Aster DM Healthcare Limited,Healthcare,540975,Healthcare
NATCOPHARM.BO,NATCO Pharma Limited,Healthcare,524816,Healthcare
KIMS.BO,Krishna Institute of Medical Sciences Limited,Healthcare,543308,Healthcare
POLYMED.BO,Poly Medicure Limited,Healthcare,531768,Healthcare
